symbol,num_categories,market_cap_rank,categories
dog,2,126,"Bitcoin Ecosystem, Runes"
ceth,2,177,"cToken, Compound Tokens"
gmt,2,186,"Move To Earn, Sports Games"
gala,2,83,"Gaming Platform, GalaChain Ecosystem"
orai,2,317,"Oraichain Ecosystem, Big Data"
sei,2,78,"Sei Ecosystem, Parallelized EVM"
icp,2,29,"Storage, Internet Computer Ecosystem"
ilv,2,154,"Adventure Games, RPG"
tia,2,72,"OKX Ventures Portfolio, Modular Blockchain"
theta,3,63,"SocialFi, Entertainment, Theta Ecosystem"
cvx,3,238,"Yield Aggregator, Metagovernance, Yield Optimizer"
fet,3,28,"GMCI DePIN Index, AI Agents, NFT"
gno,3,104,"Prediction Markets, SideChain, MEV Protection"
ezeth,3,32,"Blast Ecosystem, Mode Ecosystem, Linea Ecosystem"
paal,3,245,"PAAL AI, Discord Bots, Telegram Apps"
weeth,3,26,"Restaking, Liquid Restaking Tokens, Ether.fi Ecosystem"
imx,4,46,"Gaming Blockchains, Gaming (GameFi), Play To Earn, Immutable Ecosystem"
near,4,20,"Circle Ventures Portfolio, Data Availability, Artificial Intelligence (AI), Zero Knowledge (ZK)"
ankr,4,198,"Polygon zkEVM Ecosystem, Technology & Science, Rollups-as-a-Service (RaaS), Scroll Ecosystem"
axs,5,88,"Breeding, Gaming Governance Token, Axie Infinity Ecosystem, Gaming Utility Token, Card Games"
matic,5,23,"Layer 2 (L2), Binance Labs Portfolio, GMCI Layer 2 Index, Binance Launchpad, Rollup"
link,5,17,"Infrastructure, Edgeware Ecosystem, Oracle, Business Services, GMCI DeFi Index"
pendle,7,99,"Olympus Pro, LSDFi, LRTfi, Yield Tokenization, Derivatives, Liquid Restaking Governance Tokens, Fixed Interest"
uni,10,19,"Huobi ECO Chain Ecosystem, Governance, Defi Pulse Index (DPI), Coinbase Ventures Portfolio, Automated Market Maker (AMM), Energi Ecosystem, Yield Farming, Sora Ecosystem, Decentralized Exchange (DEX), Paradigm Portfolio"
